epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
96,2281.58,0.66787,0.52403,0.9408,0.9179,0.93182,0.91543,0.4968,1.5053,0.83788,1.41332,0.000746,0.000746,0.000746
97,2305.83,0.61326,0.49948,0.92408,0.93154,0.91667,0.93486,0.53058,1.44299,0.82092,1.36778,0.0007328,0.0007328,0.0007328
98,2330.4,0.59704,0.45881,0.91368,0.95679,0.95833,0.95975,0.5374,1.36078,0.80126,1.32109,0.0007196,0.0007196,0.0007196
99,2351.83,0.63179,0.47421,0.92488,0.93418,0.9375,0.94951,0.53414,1.42084,0.859,1.33362,0.0007064,0.0007064,0.0007064
100,2376.13,0.63674,0.49628,0.94948,0.92561,0.91667,0.93432,0.48969,1.54269,0.86211,1.41739,0.0006932,0.0006932,0.0006932
101,2400.68,0.62035,0.48836,0.93331,0.88199,0.89583,0.8793,0.47123,1.55289,0.87604,1.43921,0.00068,0.00068,0.00068
102,2422.15,0.57122,0.45154,0.89232,0.88199,0.89583,0.8793,0.47123,1.55289,0.87604,1.43921,0.0006668,0.0006668,0.0006668
103,2446.56,0.58026,0.46416,0.91744,0.91455,0.95833,0.93059,0.50468,1.46934,0.82601,1.39799,0.0006536,0.0006536,0.0006536
104,2471.1,0.61744,0.48109,0.93215,0.93399,0.9375,0.95035,0.53334,1.40101,0.73542,1.38394,0.0006404,0.0006404,0.0006404
105,2492.82,0.61599,0.46479,0.92008,0.95643,0.9375,0.95312,0.53265,1.38987,0.72047,1.40606,0.0006272,0.0006272,0.0006272
106,2517.47,0.56284,0.4424,0.89969,0.9156,0.9375,0.92551,0.50551,1.41446,0.73635,1.4385,0.000614,0.000614,0.000614
107,2542.6,0.59965,0.45255,0.91512,0.91666,0.9375,0.92563,0.51085,1.41087,0.71369,1.433,0.0006008,0.0006008,0.0006008
108,2563.84,0.63491,0.47594,0.93204,0.94735,0.95833,0.97673,0.53229,1.41091,0.7456,1.41876,0.0005876,0.0005876,0.0005876
109,2588.3,0.56717,0.46596,0.92502,0.90038,0.95833,0.97195,0.53105,1.44695,0.74371,1.44246,0.0005744,0.0005744,0.0005744
110,2612.8,0.55866,0.44519,0.89541,0.90038,0.95833,0.97195,0.53105,1.44695,0.74371,1.44246,0.0005612,0.0005612,0.0005612
111,2634.1,0.55909,0.42584,0.91669,0.91834,0.95833,0.96936,0.52178,1.41686,0.75267,1.44169,0.000548,0.000548,0.000548
112,2658.82,0.54868,0.42554,0.90217,0.93282,0.95833,0.9657,0.50807,1.49647,0.74814,1.49056,0.0005348,0.0005348,0.0005348
113,2683.09,0.5505,0.43804,0.89321,0.93596,0.95833,0.96778,0.51024,1.51296,0.73822,1.49625,0.0005216,0.0005216,0.0005216
